Ocean Home Nha Trang	6, tổ dân phố Phương Mai, Bắc Nha Trang, Khánh Hòa, Việt Nam	ChIJ_6-5LwBncDERAyqM6sSkDG4
Ocean View Luxury Retreat - Private Villa by Nest Group	Nam Nha Trang, Khánh Hòa, Việt Nam	ChIJnZpQSzVncDERJOxjldaOvwQ
PALM VILLA - Mini Golf	Tây Nha Trang, Khánh Hòa, Việt Nam	ChIJ2VMlYBddcDERPLUSKaK48Cg
PRIVATE VILLA FOR RELAXING	Việt Nam	ChIJa6Na38tgcDERxtP02i--V94
Palm Hostel & Coffee	15 Nguyễn Du, Nha Trang, Khánh Hòa 650000, Việt Nam	ChIJJdNZi3JocDER2Vq71t98dS0
Palm Villa	7592+49Q, Tây Nha Trang, Khánh Hòa, Việt Nam	ChIJH7qGMIhdcDERifwBFxY59FI
Panorama Condotel by San Village	1 Nguyễn Thị Minh Khai, Nha Trang, Khánh Hòa 650000, Việt Nam	ChIJRTdWDc9ncDERVevY7Xeuug8
Panorama Nha Trang - Mira Stay	Tòa nhà PANORAMA, 02 Nguyễn Thị Minh Khai, Nha Trang, Khánh Hòa 650000, Việt Nam	ChIJaWvp0JpncDERW8pbSKNdS2E
Panorama Nha Trang Condotel	02 Nguyễn Thị Minh Khai, Nha Trang, Khánh Hòa 650000, Việt Nam	ChIJoZW5fAhncDERlfdpE2EAzmI
Papaya Homestay	35 Nguyễn Thiện Thuật, Nha Trang, Khánh Hòa 650000, Việt Nam	ChIJKcVem2RncDERLYxqGU4NUSI
Pavillon Boutique Hotel & Apartment Nha Trang	100b/10, Trần Phú, Nha Trang, Khánh Hòa, Việt Nam	ChIJd5bPh6BncDERJK0LJTSi4M8
Peaceful villa	141 Đường Số 4, Thủy Tú, Nam Nha Trang, Khánh Hòa, Việt Nam	ChIJvzIG5oJdcDERpgTwWc3lQQU
Pepper in Nha Trang Homestay	Tổ 14, Cồn Ngọc Thảo, Tây Nha Trang, Khánh Hòa 57115, Việt Nam	ChIJ12MdEgBdcDERY4XDCbkGOWA
Pet Friendly Nha Trang Harbor View Villa	Nam Nha Trang, Khánh Hòa, Việt Nam	ChIJRUGwWjVncDERFu7ljE074T8
Private Villa Nha Trang Nha Trang E5	Nam Nha Trang, Khánh Hòa, Việt Nam	ChIJ_QcJLjVncDERZtsAMyIGezs
Promotion 33%: Villa 5BRs, infinity Pool & BBQ	Nam Nha Trang, Khánh Hòa, Việt Nam	ChIJT06iWTVncDER1YQuznuO8qM
Promotion 33%:Villa Nha Trang 5Bedrooms, Pool, BBQ	Nam Nha Trang, Khánh Hòa, Việt Nam	ChIJhX3dWjVncDERxoYb1vL1uF0
Promotion Early Booker Ocean Front Villa 500m2 with 4 bedrooms and swimming pool	Nha Trang, Khánh Hòa, Việt Nam	ChIJuw8DbjVncDEReUAMZbi1jVA
Promotion Early Booker, Lan Anh Villa with 7 bedrooms and Ocean View, near beach and facilities home - Villa	An Viên, Nam Nha Trang, Khánh Hòa, Việt Nam	ChIJ8cDYc7ZgcDER1ph_UYo3Rb8
Promotion End Year Villa 250m2 with 4 bedrooms nearby VinWonder	An Viên, Nam Nha Trang, Khánh Hòa, Việt Nam	ChIJF5hkjspgcDERsTqA1aRwC6c
Promotion in Summer: 4Brs, Pool BBQ Sauna Karaoke	Nha Trang, Khánh Hòa, Việt Nam	ChIJNR8cDzVncDERDaOZqKMFEv4
